Name,Gender
ကျင်ဒါမဏီ,1
ကျော့ကျော့စံ,1
ကျော့ကေခိုင်,1
ကျော့ကေခိုင်စု,1
ကျော့ကေသရီ,1
ကျော့စန္ဒီထွန်း,1
ကျော့ဆွေဇင်သင်း,1
ကျော့ဇောလင်း,1
ကျော့ဝေနှင်းထွေး,1
ကျော်ကျော်ထက်,0
ကျော်ကျော်ထွန်း,0
ကျော်ကျော်သိန်း,0
ကျော်ကျော်ဠု,0
ကျော်ကျော်ဦး,0
ကျော်ကိုကို,0
ကျော်ကောင်းစံ,0
ကျော်ခင်သိန်း,0
ကျော်ခိုင်ဦး,0
ကျော်ငြိမ်ချမ်း,0
ကျော်စည်သူ,0
ကျော်စွာစိုး,0
ကျော်စွာဆက်,0
ကျော်စွာထွန်း,0
ကျော်စွာမြင့်,0
ကျော်စွာလင်း,0
ကျော်စွာလွင်,0
ကျော်စွာဝင်း,0
ကျော်စွာဟန်,0
ကျော်စွာအောင်,0
ကျော်စွာဦး,0
ကျော်စိုးမိုး,0
ကျော်စိုးလင်း,0
ကျော်စိုးသူ,0
ကျော်စိုးအောင်,0
ကျော်စိုးဦး,0
ကျော်ဆန်းလင်း,0
ကျော်ဆန်းဦး,0
ကျော်ဆွေဦး,0
ကျော်ဇင်ထွန်း,0
ကျော်ဇင်ဖြိုး,0
ကျော်ဇင်လတ်,0
ကျော်ဇင်ဝင်း,0
ကျော်ဇင်ဝေ,0
ကျော်ဇင်သက်,0
ကျော်ဇင်သန့်,0
ကျော်ဇင်သန့်,0
ကျော်ဇင်ဟိဏ်း,0
ကျော်ဇင်ဟိန်း,0
ကျော်ဇင်အောင်,0
ကျော်ဇင်ဦး,0
ကျော်ဇံမြင့်,0
ကျော်ဇေယျ,0
ကျော်ဇေယျအောင်,0
ကျော်ဇေယျာလင်း,0
ကျော်ဇေယျာဝင်း,0
ကျော်ဇေယျာသိန်း,0
ကျော်ဇောထွန်း,0
ကျော်ဇောလင်း,0
ကျော်ဇောသူ,0
ကျော်ဇောအောင်,0
ကျော်ဇောဦး,0
ကျော်ထက်,0
ကျော်ထက်မင်း,0
ကျော်ထက်လွင်,0
ကျော်ထွန်း,0
ကျော်ထွန်းနိုင်,0
ကျော်ထွန်းမြင့်,0
ကျော်ထွန်းဝင်း,0
ကျော်ထွန်းအောင်,0
ကျော်ထွန်းဦး,0
ကျော်နဒီအောင်,0
ကျော်နန္ဒ,0
ကျော်နိုင်စိုး,0
ကျော်နိုင်ထွန်း,0
ကျော်နိုင်ဝင်း,0
ကျော်နိုင်ဦး,0
ကျော်ဖြိုးဝင်း,0
ကျော်ဗလ,0
ကျော်ဗိုလ်ဗိုလ်သိန်း,0
ကျော်ဗိုလ်ဗိုလ်ဦး,0
ကျော်မင်းခိုင်,0
ကျော်မင်းစိုး,0
ကျော်မင်းထက်,0
ကျော်မင်းထွန်း,0
ကျော်မင်းထွေး,0
ကျော်မင်းနိုင်,0
ကျော်မင်းလတ်,0
ကျော်မင်းလွင်,0
ကျော်မင်းသန့်,0
ကျော်မင်းသိန်း,0
ကျော်မင်းအေး,0
ကျော်မင်းအောင်,0
ကျော်မင်းဦး,0
ကျော်မျိုးခိုင်,0
ကျော်မျိုးညွန့်,0
ကျော်မျိုးထွန်း,0
ကျော်မျိုးနိုင်,0
ကျော်မျိုးလွင်,0
ကျော်မျိုးလှိုင်,0
ကျော်မျိုးဝင်း,0
ကျော်မျိုးသူ,0
ကျော်မျိုးအောင်,0
ကျော်မြင့်အောင်,0
ကျော်မြတ်စိုး,0
ကျော်မြသိန်း,0
ကျော်မြိုင်,0
ကျော်မိုးခိုင်,0
ကျော်မိုးဇော်,0
ကျော်မိုးနိုင်,0
ကျော်မိုးလွင်,0
ကျော်မိုးသူ,0
ကျော်မိုးအောင်,0
ကျော်မီမီစိုး,0
ကျော်ရဲရင့်ပိုင်,0
ကျော်ရဲလင်း,0
ကျော်ရဲလွင်,0
ကျော်ရဲအောင်,0
ကျော်လင်းခန့်,0
ကျော်လင်းထွန်း,0
ကျော်လင်းလင်း,0
ကျော်လင်းသန့်,0
ကျော်လင်းအောင်,0
ကျော်လင်းဦး,0
ကျော်လွင်ဦး,0
ကျော်ဝင်း,0
ကျော်ဝင်းထွန်း,0
ကျော်ဝင်းမြင့်,0
ကျော်ဝင်းအောင်,0
ကျော်ဝင်းဦး,0
ကျော်သက်နိုင်,0
ကျော်သက်လှိုင်,0
ကျော်သက်ဝေ,0
ကျော်သန်းဌေး,0
ကျော်သန်းဦး,0
ကျော်သွင်ညွန့်,0
ကျော်သာဟိန်း,0
ကျော်သိန်းဦး,0
ကျော်သီဟ,0
ကျော်သုတဦး,0
ကျော်သူရ,0
ကျော်သူရိန်မျိုး,0
ကျော်သူလင်း,0
ကျော်သူဝင်း,0
ကျော်သူဟိန်း,0
ကျော်သူအောင်,0
ကျော်ဥာဏ်ထွန်း,0
ကျော်ဦးလွင်,0
ကရက်ထော,0
ကြည်ကြည်မေ,1
ကြည်ကြည်လဲ့,1
ကြည်ကြည်သော်,1
ကြည်ကြည်ဟန်,1
ကြည်စုလှိုင်,1
ကြည်ထူးဇော်,0
ကြည်ပြာသိန်း,1
ကြည်ဖြူဝင်းရှိန်,1
ကြည်ဖြူသျှင်,1
ကြည်မျိုးလွင်,0
ကြည်ယွန်းအိမ်,1
ကြည်လွင်မြင့်,0
ကြည်လဲ့ခင်,1
ကြည်လဲ့လဲ့အောင်,1
ကြည်ဝင်းမော်,1
ကြည်သင်းဦး,1
ကြည်သန့်စင်,0
ကြည်သာစိုးစံ,1
ကြယ်ကဗျာထက်,1
ကြယ်စင်ထက်,0
ကြယ်စင်ထွန်း,0
ကြယ်စင်ဖြူ,1
ကြယ်စင်မင်းထက်,0
ကြယ်စင်မင်းထွဋ်,0
ကြယ်စင်မှုး,0
ကြယ်စင်သန့်,0
ကြယ်ဇင်ဇော်,0
ကြွယ်ကြွယ်ဌေး,1
ကြာညိုအေး,1
ကြိုကြိုမိုး,1
ကြိုင်စံရွှေ,0
ကြူကြူခင်,1
ကြူကြူမေ,1
ကြူကြူရှိန်,1
ကြူကြူလွင်,1
ကြော့ကေခိုင်,1
ကံလင်းသာ,0
ကာယံမိုး,0
ကိုကိုမင်းထက်,0
ကုဋေမိုးမြင့်,1
ကေကေခိုင်,1
ကေခိုင်ဇင်,1
ကေခိုင်ထွန်း,1
ကေခိုင်မြင့်လွင်,1
ကေခိုင်လင်း,1
ကေခိုင်ဝင်းထွန်း,1
ကေခိုင်ဝင်းမြင့်,1
ကေစီထွန်း,1
ကေဇင်ခိုင်,1
ကေဇင်စိုး,1
ကေဇင်ဇင်သော်,1
ကေဇင်ထက်,1
ကေဇင်မျိုးမြင့်,1
ကေဇင်လှိုင်,1
ကေဇင်သက်,1
ကေဇင်သန့်,1
ကေဇင်သွယ်,1
